timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1708944554238,97,GET Single User,200,OK,Worload Config 1-45,text,true,,1186,96,1,1,https://reqres.in/api/users/2,97,0,63
1708944554336,382,POST Register,201,Created,Worload Config 1-45,text,true,,897,204,1,1,https://reqres.in/api/users,382,0,0
1708944554737,88,GET Single User,200,OK,Worload Config 1-46,text,true,,1186,96,1,1,https://reqres.in/api/users/2,88,0,51
1708944554826,396,POST Register,201,Created,Worload Config 1-46,text,true,,905,204,1,1,https://reqres.in/api/users,396,0,0
1708944555239,96,GET Single User,200,OK,Worload Config 1-47,text,true,,1186,96,1,1,https://reqres.in/api/users/2,96,0,64
1708944555336,398,POST Register,201,Created,Worload Config 1-47,text,true,,905,204,1,1,https://reqres.in/api/users,398,0,0
1708944555737,95,GET Single User,200,OK,Worload Config 1-48,text,true,,1185,96,1,1,https://reqres.in/api/users/2,95,0,62
1708944555833,427,POST Register,201,Created,Worload Config 1-48,text,true,,905,204,2,2,https://reqres.in/api/users,427,0,0
1708944556238,100,GET Single User,200,OK,Worload Config 1-49,text,true,,1178,96,1,1,https://reqres.in/api/users/2,100,0,70
1708944556338,389,POST Register,201,Created,Worload Config 1-49,text,true,,905,204,1,1,https://reqres.in/api/users,389,0,0
1708944556752,103,GET Single User,200,OK,Worload Config 1-50,text,true,,1186,96,1,1,https://reqres.in/api/users/2,103,0,65
1708944556856,386,POST Register,201,Created,Worload Config 1-50,text,true,,901,204,1,1,https://reqres.in/api/users,386,0,0
1708944557254,89,GET Single User,200,OK,Worload Config 1-51,text,true,,1182,96,1,1,https://reqres.in/api/users/2,89,0,57
1708944557344,399,POST Register,201,Created,Worload Config 1-51,text,true,,900,204,2,2,https://reqres.in/api/users,399,0,0
1708944557739,102,GET Single User,200,OK,Worload Config 1-52,text,true,,1185,96,1,1,https://reqres.in/api/users/2,102,0,62
1708944557842,383,POST Register,201,Created,Worload Config 1-52,text,true,,901,204,1,1,https://reqres.in/api/users,383,0,0
1708944558239,108,GET Single User,200,OK,Worload Config 1-53,text,true,,1186,96,1,1,https://reqres.in/api/users/2,108,0,78
1708944558348,394,POST Register,201,Created,Worload Config 1-53,text,true,,901,204,1,1,https://reqres.in/api/users,394,0,0
1708944558747,107,GET Single User,200,OK,Worload Config 1-54,text,true,,1178,96,1,1,https://reqres.in/api/users/2,106,0,73
1708944558854,384,POST Register,201,Created,Worload Config 1-54,text,true,,893,204,2,2,https://reqres.in/api/users,384,0,0
1708944559238,100,GET Single User,200,OK,Worload Config 1-55,text,true,,1182,96,1,1,https://reqres.in/api/users/2,100,0,69
1708944559339,379,POST Register,201,Created,Worload Config 1-55,text,true,,893,204,1,1,https://reqres.in/api/users,379,0,0
1708944559737,100,GET Single User,200,OK,Worload Config 1-56,text,true,,1178,96,1,1,https://reqres.in/api/users/2,100,0,65
1708944559838,382,POST Register,201,Created,Worload Config 1-56,text,true,,897,204,1,1,https://reqres.in/api/users,382,0,0
1708944560239,125,GET Single User,200,OK,Worload Config 1-57,text,true,,1186,96,1,1,https://reqres.in/api/users/2,125,0,71
1708944560364,422,POST Register,201,Created,Worload Config 1-57,text,true,,897,204,2,2,https://reqres.in/api/users,422,0,0
1708944560737,98,GET Single User,200,OK,Worload Config 1-58,text,true,,1186,96,1,1,https://reqres.in/api/users/2,98,0,59
1708944560836,390,POST Register,201,Created,Worload Config 1-58,text,true,,893,204,1,1,https://reqres.in/api/users,390,0,0
1708944561238,97,GET Single User,200,OK,Worload Config 1-59,text,true,,1178,96,1,1,https://reqres.in/api/users/2,97,0,55
1708944561335,386,POST Register,201,Created,Worload Config 1-59,text,true,,892,204,1,1,https://reqres.in/api/users,386,0,0
1708944561738,104,GET Single User,200,OK,Worload Config 1-60,text,true,,1186,96,1,1,https://reqres.in/api/users/2,104,0,69
1708944561843,389,POST Register,201,Created,Worload Config 1-60,text,true,,893,204,1,1,https://reqres.in/api/users,389,0,0
1708944562240,110,GET Single User,200,OK,Worload Config 1-61,text,true,,1185,96,1,1,https://reqres.in/api/users/2,110,0,56
1708944562351,386,POST Register,201,Created,Worload Config 1-61,text,true,,891,204,1,1,https://reqres.in/api/users,386,0,0
1708944562738,94,GET Single User,200,OK,Worload Config 1-62,text,true,,1178,96,1,1,https://reqres.in/api/users/2,94,0,61
1708944562832,381,POST Register,201,Created,Worload Config 1-62,text,true,,893,204,1,1,https://reqres.in/api/users,381,0,0
1708944563239,89,GET Single User,200,OK,Worload Config 1-63,text,true,,1178,96,1,1,https://reqres.in/api/users/2,88,0,56
1708944563329,397,POST Register,201,Created,Worload Config 1-63,text,true,,893,204,1,1,https://reqres.in/api/users,397,0,0
1708944563736,87,GET Single User,200,OK,Worload Config 1-64,text,true,,1186,96,1,1,https://reqres.in/api/users/2,87,0,53
1708944563823,397,POST Register,201,Created,Worload Config 1-64,text,true,,893,204,1,1,https://reqres.in/api/users,397,0,0
1708944564238,83,GET Single User,200,OK,Worload Config 1-65,text,true,,1185,96,1,1,https://reqres.in/api/users/2,83,0,54
1708944564322,384,POST Register,201,Created,Worload Config 1-65,text,true,,893,204,1,1,https://reqres.in/api/users,384,0,0
1708944564738,95,GET Single User,200,OK,Worload Config 1-66,text,true,,1178,96,1,1,https://reqres.in/api/users/2,95,0,54
1708944564833,382,POST Register,201,Created,Worload Config 1-66,text,true,,897,204,1,1,https://reqres.in/api/users,382,0,0
1708944565237,85,GET Single User,200,OK,Worload Config 1-67,text,true,,1178,96,1,1,https://reqres.in/api/users/2,85,0,52
1708944565322,408,POST Register,201,Created,Worload Config 1-67,text,true,,897,204,1,1,https://reqres.in/api/users,408,0,0
1708944565739,93,GET Single User,200,OK,Worload Config 1-68,text,true,,1182,96,1,1,https://reqres.in/api/users/2,93,0,58
1708944565833,595,POST Register,201,Created,Worload Config 1-68,text,true,,901,204,2,2,https://reqres.in/api/users,595,0,0
1708944566240,188,GET Single User,200,OK,Worload Config 1-69,text,true,,1186,96,2,2,https://reqres.in/api/users/2,188,0,156
1708944566428,388,POST Register,201,Created,Worload Config 1-69,text,true,,901,204,2,2,https://reqres.in/api/users,388,0,0
1708944566738,98,GET Single User,200,OK,Worload Config 1-70,text,true,,1186,96,1,1,https://reqres.in/api/users/2,98,0,67
1708944566837,391,POST Register,201,Created,Worload Config 1-70,text,true,,892,204,1,1,https://reqres.in/api/users,391,0,0
1708944567239,107,GET Single User,200,OK,Worload Config 1-71,text,true,,1186,96,1,1,https://reqres.in/api/users/2,107,0,68
1708944567347,384,POST Register,201,Created,Worload Config 1-71,text,true,,893,204,1,1,https://reqres.in/api/users,384,0,0
1708944567737,95,GET Single User,200,OK,Worload Config 1-72,text,true,,1186,96,1,1,https://reqres.in/api/users/2,95,0,57
1708944567833,397,POST Register,201,Created,Worload Config 1-72,text,true,,897,204,1,1,https://reqres.in/api/users,397,0,0
1708944568247,91,GET Single User,200,OK,Worload Config 1-73,text,true,,1178,96,1,1,https://reqres.in/api/users/2,91,0,60
1708944568339,382,POST Register,201,Created,Worload Config 1-73,text,true,,897,204,1,1,https://reqres.in/api/users,382,0,0
1708944568737,90,GET Single User,200,OK,Worload Config 1-74,text,true,,1178,96,1,1,https://reqres.in/api/users/2,90,0,58
1708944568828,383,POST Register,201,Created,Worload Config 1-74,text,true,,897,204,1,1,https://reqres.in/api/users,383,0,0
1708944569239,94,GET Single User,200,OK,Worload Config 1-75,text,true,,1178,96,1,1,https://reqres.in/api/users/2,94,0,56
1708944569334,381,POST Register,201,Created,Worload Config 1-75,text,true,,897,204,1,1,https://reqres.in/api/users,381,0,0
1708944569739,102,GET Single User,200,OK,Worload Config 1-76,text,true,,1186,96,1,1,https://reqres.in/api/users/2,102,0,65
1708944569842,397,POST Register,201,Created,Worload Config 1-76,text,true,,900,204,2,2,https://reqres.in/api/users,397,0,0
1708944570239,118,GET Single User,200,OK,Worload Config 1-77,text,true,,1186,96,1,1,https://reqres.in/api/users/2,118,0,68
1708944570357,381,POST Register,201,Created,Worload Config 1-77,text,true,,901,204,1,1,https://reqres.in/api/users,381,0,0
1708944570739,101,GET Single User,200,OK,Worload Config 1-78,text,true,,1178,96,1,1,https://reqres.in/api/users/2,101,0,61
1708944570841,393,POST Register,201,Created,Worload Config 1-78,text,true,,896,204,1,1,https://reqres.in/api/users,393,0,0
1708944571240,93,GET Single User,200,OK,Worload Config 1-79,text,true,,1186,96,1,1,https://reqres.in/api/users/2,93,0,62
1708944571334,397,POST Register,201,Created,Worload Config 1-79,text,true,,896,204,1,1,https://reqres.in/api/users,397,0,0
